NCES LEA ID,State ID,District Name,City,State,Zip Code,Zip +4,"SRSA, Not RLIS eligible",LEA Operational Status,Zip Code Text,,,,,,,,,,,,,,,,,,,,,,,,
0902850,096,NEW MILFORD SCHOOL DISTRICT,NEW MILFORD,CT,06776,3099,#REF!,Open,06776,,,,,,,,,,,,,,,,,,,,,,,,
0902880,094,NEWINGTON SCHOOL DISTRICT,NEWINGTON,CT,06111,2698,#REF!,Open,06111,,,,,,,,,,,,,,,,,,,,,,,,
0902910,097,NEWTOWN SCHOOL DISTRICT,NEWTOWN,CT,06470,2151,#REF!,Open,06470,,,,,,,,,,,,,,,,,,,,,,,,
0902940,098,NORFOLK SCHOOL DISTRICT,NORFOLK,CT,06058,1353,#REF!,Open,06058,,,,,,,,,,,,,,,,,,,,,,,,
0902970,099,NORTH BRANFORD SCHOOL DISTRIC,NORTHFORD,CT,06472,1380,#REF!,Open,06472,,,,,,,,,,,,,,,,,,,,,,,,
0903000,100,NORTH CANAAN SCHOOL DISTRICT,FALLS VILLAGE,CT,06031,1600,#REF!,Open,06031,,,,,,,,,,,,,,,,,,,,,,,,
0903030,101,NORTH HAVEN SCHOOL DISTRICT,NORTH HAVEN,CT,06473,2586,#REF!,Open,06473,,,,,,,,,,,,,,,,,,,,,,,,
0903060,102,NORTH STONINGTON SCHOOL DISTR,NORTH STONINGTON,CT,06359,1615,#REF!,Open,06359,,,,,,,,,,,,,,,,,,,,,,,,
0903090,103,NORWALK SCHOOL DISTRICT,NORWALK,CT,06852,6001,#REF!,Open,06852,,,,,,,,,,,,,,,,,,,,,,,,
0905371,901,NORWICH FREE ACADEMY,NORWICH,CT,06360,3563,#REF!,Open,06360,,,,,,,,,,,,,,,,,,,,,,,,
0903120,104,NORWICH SCHOOL DISTRICT,NORWICH,CT,06360,2324,#REF!,Open,06360,,,,,,,,,,,,,,,,,,,,,,,,
0900009,263,ODYSSEY COMMUNITY SCHOOL DIST,MANCHESTER,CT,06040,2121,#REF!,Open,06040,,,,,,,,,,,,,,,,,,,,,,,,
0903180,106,OLD SAYBROOK SCHOOL DISTRICT,OLD SAYBROOK,CT,06475,2399,#REF!,Open,06475,,,,,,,,,,,,,,,,,,,,,,,,
0903210,107,ORANGE SCHOOL DISTRICT,ORANGE,CT,06477,2432,#REF!,Open,06477,,,,,,,,,,,,,,,,,,,,,,,,
0903240,108,OXFORD SCHOOL DISTRICT,OXFORD,CT,06478,1231,#REF!,Open,06478,,,,,,,,,,,,,,,,,,,,,,,,
0900033,283,PARK CITY PREP CHARTER SCHOOL,BRIDGEPORT,CT,06608,,#REF!,Open,06608,,,,,,,,,,,,,,,,,,,,,,,,
0903270,109,PLAINFIELD SCHOOL DISTRICT,PLAINFIELD,CT,06374,,#REF!,Open,06374,,,,,,,,,,,,,,,,,,,,,,,,
0903300,110,PLAINVILLE SCHOOL DISTRICT,PLAINVILLE,CT,06062,2398,#REF!,Open,06062,,,,,,,,,,,,,,,,,,,,,,,,
0903330,111,PLYMOUTH SCHOOL DISTRICT,TERRYVILLE,CT,06786,5104,#REF!,Open,06786,,,,,,,,,,,,,,,,,,,,,,,,
0903360,112,POMFRET SCHOOL DISTRICT,POMFRET CENTER,CT,06259,1814,#REF!,Open,06259,,,,,,,,,,,,,,,,,,,,,,,,
0903390,113,PORTLAND SCHOOL DISTRICT,PORTLAND,CT,06480,0231,#REF!,Open,06480,,,,,,,,,,,,,,,,,,,,,,,,
0903420,114,PRESTON SCHOOL DISTRICT,PRESTON,CT,06365,9756,#REF!,Open,06365,,,,,,,,,,,,,,,,,,,,,,,,
0903480,116,PUTNAM SCHOOL DISTRICT,PUTNAM,CT,06260,1890,#REF!,Open,06260,,,,,,,,,,,,,,,,,,,,,,,,
0903510,117,REDDING SCHOOL DISTRICT,MONROE,CT,06468,1365,#REF!,Open,06468,,,,,,,,,,,,,,,,,,,,,,,,
0903600,201,REGIONAL SCHOOL DISTRICT 01,FALLS VILLAGE,CT,06031,1600,#REF!,Open,06031,,,,,,,,,,,,,,,,,,,,,,,,
0903630,204,REGIONAL SCHOOL DISTRICT 04,DEEP RIVER,CT,06417,0187,#REF!,Open,06417,,,,,,,,,,,,,,,,,,,,,,,,
0903660,205,REGIONAL SCHOOL DISTRICT 05,WOODBRIDGE,CT,06525,1598,#REF!,Open,06525,,,,,,,,,,,,,,,,,,,,,,,,
0903515,206,REGIONAL SCHOOL DISTRICT 06,LITCHFIELD,CT,06759,3204,#REF!,Open,06759,,,,,,,,,,,,,,,,,,,,,,,,
0903720,207,REGIONAL SCHOOL DISTRICT 07,WINSTED,CT,06098,0656,#REF!,Open,06098,,,,,,,,,,,,,,,,,,,,,,,,
0903750,208,REGIONAL SCHOOL DISTRICT 08,HEBRON,CT,06248,1525,#REF!,Open,06248,,,,,,,,,,,,,,,,,,,,,,,,
0903780,209,REGIONAL SCHOOL DISTRICT 09,MONROE,CT,06468,2853,#REF!,Open,06468,,,,,,,,,,,,,,,,,,,,,,,,
0903520,210,REGIONAL SCHOOL DISTRICT 10,BURLINGTON,CT,06013,1313,#REF!,Open,06013,,,,,,,,,,,,,,,,,,,,,,,,
0903570,211,REGIONAL SCHOOL DISTRICT 11,CHAPLIN,CT,06235,0295,#REF!,Open,06235,,,,,,,,,,,,,,,,,,,,,,,,
0903530,212,REGIONAL SCHOOL DISTRICT 12,WASHINGTON DEPOT,CT,06794,0386,#REF!,Open,06794,,,,,,,,,,,,,,,,,,,,,,,,
0903535,213,REGIONAL SCHOOL DISTRICT 13,DURHAM,CT,06422,2001,#REF!,Open,06422,,,,,,,,,,,,,,,,,,,,,,,,
0903536,214,REGIONAL SCHOOL DISTRICT 14,WOODBURY,CT,06798,0469,#REF!,Open,06798,,,,,,,,,,,,,,,,,,,,,,,,
0903537,215,REGIONAL SCHOOL DISTRICT 15,MIDDLEBURY,CT,06762,0395,#REF!,Open,06762,,,,,,,,,,,,,,,,,,,,,,,,
0903538,216,REGIONAL SCHOOL DISTRICT 16,PROSPECT,CT,06712,1629,#REF!,Open,06712,,,,,,,,,,,,,,,,,,,,,,,,
0903539,217,REGIONAL SCHOOL DISTRICT 17,HIGGANUM,CT,06441,4323,#REF!,Open,06441,,,,,,,,,,,,,,,,,,,,,,,,
0903540,218,REGIONAL SCHOOL DISTRICT 18,OLD LYME,CT,06371,2334,#REF!,Open,06371,,,,,,,,,,,,,,,,,,,,,,,,
0900005,219,REGIONAL SCHOOL DISTRICT 19,STORRS,CT,06268,2287,#REF!,Open,06268,,,,,,,,,,,,,,,,,,,,,,,,
0903810,118,RIDGEFIELD SCHOOL DISTRICT,RIDGEFIELD,CT,06877,0629,#REF!,Open,06877,,,,,,,,,,,,,,,,,,,,,,,,
0903840,119,ROCKY HILL SCHOOL DISTRICT,ROCKY HILL,CT,06067,0627,#REF!,Open,06067,,,,,,,,,,,,,,,,,,,,,,,,
0903900,121,SALEM SCHOOL DISTRICT,SALEM,CT,06420,3804,#REF!,Open,06420,,,,,,,,,,,,,,,,,,,,,,,,
0903930,122,SALISBURY SCHOOL DISTRICT,FALLS VILLAGE,CT,06031,1600,#REF!,Open,06031,,,,,,,,,,,,,,,,,,,,,,,,
0903960,123,SCOTLAND SCHOOL DISTRICT,CHAPLIN,CT,06235,0277,#REF!,Open,06235,,,,,,,,,,,,,,,,,,,,,,,,
0903990,124,SEYMOUR SCHOOL DISTRICT,SEYMOUR,CT,06483,2892,#REF!,Open,06483,,,,,,,,,,,,,,,,,,,,,,,,
0904020,125,SHARON SCHOOL DISTRICT,FALLS VILLAGE,CT,06031,1600,#REF!,Open,06031,,,,,,,,,,,,,,,,,,,,,,,,
0904050,126,SHELTON SCHOOL DISTRICT,SHELTON,CT,06484,2265,#REF!,Open,06484,,,,,,,,,,,,,,,,,,,,,,,,
0904080,127,SHERMAN SCHOOL DISTRICT,SHERMAN,CT,06784,1422,#REF!,Open,06784,,,,,,,,,,,,,,,,,,,,,,,,
0900016,270,SIDE BY SIDE COMMUNITY SCHOOL,NORWALK,CT,06854,,#REF!,Open,06854,,,,,,,,,,,,,,,,,,,,,,,,
0904110,128,SIMSBURY SCHOOL DISTRICT,SIMSBURY,CT,06070,1897,#REF!,Open,06070,,,,,,,,,,,,,,,,,,,,,,,,
0904140,129,SOMERS SCHOOL DISTRICT,SOMERS,CT,06071,9609,#REF!,Open,06071,,,,,,,,,,,,,,,,,,,,,,,,
0904170,132,SOUTH WINDSOR SCHOOL DISTRICT,SOUTH WINDSOR,CT,06074,1093,#REF!,Open,06074,,,,,,,,,,,,,,,,,,,,,,,,
0904230,131,SOUTHINGTON SCHOOL DISTRICT,SOUTHINGTON,CT,06489,3097,#REF!,Open,06489,,,,,,,,,,,,,,,,,,,,,,,,
0904260,133,SPRAGUE SCHOOL DISTRICT,BALTIC,CT,06330,1109,#REF!,Open,06330,,,,,,,,,,,,,,,,,,,,,,,,
0904290,134,STAFFORD SCHOOL DISTRICT,STAFFORD SPRINGS,CT,06076,0147,#REF!,Open,06076,,,,,,,,,,,,,,,,,,,,,,,,
0900031,282,STAMFORD ACADEMY,STAMFORD,CT,06092,,#REF!,Open,06092,,,,,,,,,,,,,,,,,,,,,,,,
0904320,135,STAMFORD SCHOOL DISTRICT,STAMFORD,CT,06901,9310,#REF!,Open,06901,,,,,,,,,,,,,,,,,,,,,,,,
0904350,136,STERLING SCHOOL DISTRICT,ONECO,CT,06373,0159,#REF!,Open,06373,,,,,,,,,,,,,,,,,,,,,,,,
0904380,137,STONINGTON SCHOOL DISTRICT,OLD MYSTIC,CT,06372,0479,#REF!,Open,06372,,,,,,,,,,,,,,,,,,,,,,,,
0904440,138,STRATFORD SCHOOL DISTRICT,STRATFORD,CT,06615,2739,#REF!,Open,06615,,,,,,,,,,,,,,,,,,,,,,,,
0904470,139,SUFFIELD SCHOOL DISTRICT,SUFFIELD,CT,06078,2078,#REF!,Open,06078,,,,,,,,,,,,,,,,,,,,,,,,
0900015,269,THE BRIDGE ACADEMY DISTRICT,BRIDGEPORT,CT,06608,2408,#REF!,Open,06608,,,,,,,,,,,,,,,,,,,,,,,,
0905372,902,THE GILBERT SCHOOL,WINSTED,CT,06098,1190,#REF!,Open,06098,,,,,,,,,,,,,,,,,,,,,,,,
0904500,140,THOMASTON SCHOOL DISTRICT,THOMASTON,CT,06787,1984,#REF!,Open,06787,,,,,,,,,,,,,,,,,,,,,,,,
0904530,141,THOMPSON SCHOOL DISTRICT,NORTH GROSVENORD,CT,06255,0835,#REF!,Open,06255,,,,,,,,,,,,,,,,,,,,,,,,
0904560,142,TOLLAND SCHOOL DISTRICT,TOLLAND,CT,06084,3099,#REF!,Open,06084,,,,,,,,,,,,,,,,,,,,,,,,
0904590,143,TORRINGTON SCHOOL DISTRICT,TORRINGTON,CT,06790,4822,#REF!,Open,06790,,,,,,,,,,,,,,,,,,,,,,,,
0900023,278,TRAILBLAZERS ACADEMY DISTRICT,STAMFORD,CT,06901,0360,#REF!,Open,06901,,,,,,,,,,,,,,,,,,,,,,,,
0904620,144,TRUMBULL SCHOOL DISTRICT,TRUMBULL,CT,06611,2052,#REF!,Open,06611,,,,,,,,,,,,,,,,,,,,,,,,
0900003,336,UNIFIED SCHOOL DISTRICT #1,WETHERSFIELD,CT,06109,1604,#REF!,Open,06109,,,,,,,,,,,,,,,,,,,,,,,,
0900004,347,UNIFIED SCHOOL DISTRICT #2,HARTFORD,CT,06106,7107,#REF!,Open,06106,,,,,,,,,,,,,,,,,,,,,,,,
0900001,349,UNIFIED SCHOOL DISTRICT #3,HARTFORD,CT,06106,1308,#REF!,Open,06106,,,,,,,,,,,,,,,,,,,,,,,,
