,District name,OutcomeRatePct
367,East Hartford School District,60.959752
368,East Hartford School District,88.960538
369,East Hartford School District,61.64137
370,East Hartford School District,67.134071
371,East Hartford School District,75.715417
372,East Hartford School District,65.421932
373,East Hartford School District,51.128849
374,East Hartford School District,66.595637
375,East Hartford School District,60.930284
376,East Hartford School District,71.048405
377,East Hartford School District,57.456234
378,East Hartford School District,74.555067
379,East Haven School District,61.756958
380,East Haven School District,54.391981
381,East Haven School District,73.76713
382,East Haven School District,64.143413
383,East Haven School District,70.716177
384,East Haven School District,55.937935
385,East Haven School District,64.100658
386,East Lyme School District,87.089592
387,East Lyme School District,67.893209
388,East Lyme School District,77.976342
389,East Lyme School District,79.616609
390,East Lyme School District,93.409155
391,Easton School District,76.588693
392,Easton School District,79.620862
393,East Windsor School District,67.514134
394,East Windsor School District,60.384202
395,East Windsor School District,58.903928
396,Ellington School District,76.729025
397,Ellington School District,68.548628
398,Ellington School District,77.380497
399,Ellington School District,67.423858
400,Ellington School District,81.046928
401,Enfield School District,70.844282
402,Enfield School District,75.126768
403,Enfield School District,71.144422
404,Enfield School District,55.271248
405,Enfield School District,66.805327
406,Enfield School District,42.488746
407,Enfield School District,51.361493
408,Enfield School District,67.51042
409,Essex School District,72.01009
410,Fairfield School District,76.435595
411,Fairfield School District,83.818963
412,Fairfield School District,83.435405
413,Fairfield School District,80.28042
414,Fairfield School District,67.809447
415,Fairfield School District,80.158163
416,Fairfield School District,73.712033
417,Fairfield School District,74.951859
418,Fairfield School District,80.483129
419,Fairfield School District,76.469858
420,Fairfield School District,81.573419
421,Fairfield School District,89.392703
422,Fairfield School District,74.633061
423,Fairfield School District,78.103006
424,Fairfield School District,81.289222
425,Fairfield School District,67.827364
426,Farmington School District,81.541326
427,Farmington School District,85.294577
428,Farmington School District,74.506522
429,Farmington School District,80.568108
430,Farmington School District,83.291022
431,Farmington School District,80.74182
432,Farmington School District,80.562852
433,Franklin School District,73.551773
434,Glastonbury School District,83.849361
435,Glastonbury School District,77.783407
436,Glastonbury School District,83.060264
437,Glastonbury School District,86.550912
438,Glastonbury School District,75.800737
439,Glastonbury School District,77.254308
440,Glastonbury School District,76.947968
441,Glastonbury School District,68.282729
442,Granby School District,84.624555
443,Granby School District,68.03829
444,Granby School District,64.444444
445,Granby School District,80.596541
446,Greenwich School District,67.081003
447,Greenwich School District,80.91331
448,Greenwich School District,80.823176
449,Greenwich School District,79.633583
450,Greenwich School District,84.600009
451,Greenwich School District,71.484801
452,Greenwich School District,83.48425
453,Greenwich School District,68.263747
454,Greenwich School District,74.394172
455,Greenwich School District,88.824433
456,Greenwich School District,82.867422
457,Greenwich School District,79.807114
458,Greenwich School District,90.446802
459,Greenwich School District,87.605851
460,Greenwich School District,68.369591
461,Griswold School District,0.0
462,Griswold School District,61.232921
463,Griswold School District,68.758383
464,Griswold School District,66.16301
465,Groton School District,66.758244
466,Groton School District,75.110553
467,Groton School District,52.311036
468,Groton School District,61.990114
469,Groton School District,83.272395
470,Groton School District,67.246028
471,Groton School District,70.636423
472,Guilford School District,73.083659
473,Guilford School District,81.729601
474,Guilford School District,80.848031
475,Guilford School District,75.913578
476,Guilford School District,82.17688
477,Guilford School District,79.515595
478,Guilford School District,83.049674
479,Hamden School District,68.103468
480,Hamden School District,59.05078
481,Hamden School District,59.341335
482,Hamden School District,63.548796
483,Hamden School District,49.480461
484,Hamden School District,62.390134
485,Hamden School District,70.224594
486,Hamden School District,63.457128
487,Hamden School District,74.589509
488,Hamden School District,71.467566
489,Hampton School District,61.052525
490,Hartford School District,63.48025
491,Hartford School District,54.413754
492,Hartford School District,59.633484
493,Hartford School District,56.412647
494,Hartford School District,46.714853
495,Hartford School District,45.672747
496,Hartford School District,40.283378
497,Hartford School District,56.549128
498,Hartford School District,60.352454
499,Hartford School District,47.209554
500,Hartford School District,52.406544
501,Hartford School District,44.572075
502,Hartford School District,47.734824
503,Hartford School District,65.639468
504,Hartford School District,63.584248
505,Hartford School District,45.172867
506,Hartford School District,47.625309
507,Hartford School District,52.585585
508,Hartford School District,63.710478
509,Hartford School District,47.486473
510,Hartford School District,47.133481
511,Hartford School District,42.100246
512,Hartford School District,45.029932
513,Hartford School District,56.655227
514,Hartford School District,66.76745
515,Hartford School District,59.366716
516,Hartford School District,56.890645
517,Hartford School District,59.123077
518,Hartford School District,41.964684
519,Hartford School District,73.057486
520,Hartford School District,47.517918
521,Hartford School District,60.674273
522,Hartford School District,59.609308
523,Hartford School District,55.06052
524,Hartford School District,78.957752
525,Hartford School District,47.078538
526,Hartford School District,57.545681
527,Hartford School District,50.99231
528,Hartford School District,54.056761
529,Hartland School District,86.424197
530,Hebron School District,77.078853
531,Hebron School District,77.916789
532,Kent School District,74.461247
533,Killingly School District,9.382716
534,Killingly School District,70.483304
535,Killingly School District,56.080392
536,Killingly School District,55.454984
